SlNo,CustomerName,Region,TINR,ENGR,IU,HasComplaints
339,BGR ENERGY a/C TNEB,RC,15284,RP,0,0
340,ABB SOUTH AFRICA,EXP,124,AM,1,0
341,ABB SOUTH AFRICA,EXP,1158,AM,1,0
342,INELEC,RS,304,PS,1,1
343,ABB UNITED KINGDOM,EXP,34.46,AM,1,0
344,CRBORUNDUM,RS,2400,AM,1,0
345,ABB SOUTH AFRICA,EXP,887.73,AM,1,0
346,APOLLO,RC,5050,AN,1,0
347,ANAND UTILITIES,RE,269.9,PS,0,0
348,ANAND UTILITIES,RE,211.24,PS,0,0
349,HAZIRA LNG PVT LTD,RW,42,PS,1,0
350,MANGALAM ELECTRICALS,RN,53.46,PS,1,0
351,EMCO A/C HVPNL,RW,768,PS,0,0
352,ELECTROTHERM,RW,76.65,PS,1,0
353,ALSTHOM T&D INDIA LIMITED,RN,2346,KS,0,0
354,ABB SOUTH AFRICA,EXP,1158,AM,1,0
355,BPCL,RS,88493,AN,1,1
356,BPCL,RS,8158,AN,1,1
357,EASTERN TRADE & AGENCIES,RE,46.15,PS,1,0
358,ABB Elektrik Sanayi A S Istanbul - Turkey,EXP,2520,AM,1,1
359,AB Power System,RW,195,PS,1,0
360,Bus Bar Systems,RS,279,PS,1,0
361,Inelec,RS,22.8,PS,1,1
362,"ABB Oy, Finland",EXP,216.7,AM,1,0
363,KSEB Kalamassery,RS,315.6,PS,1,0
364,VIZAG STEEL PLANT,RS,795,SP,1,0
365,SHRIRAM EPC LIMITED,RC,810,PS,1,0
366,MEGHA ENGINEERING,RS,359,PS,1,0
367,GLOBUS INTERNATIONAL PVT LIMITED,RW,134,PS,1,0
368,JBF PETROCHEMICALS LTD,RW,4206,AM,1,0
369,ABB SWITZERLAND,EXP,3454,AM,1,0
370,QUALITY POWER,RW,485,AM,1,1
371,HINDUSTAN ZINC,RN,192,PS,1,1
372,ABB CANADA,EXP,629.85,AM,1,0
373,ABB AUSTRALIA,EXP,39,AM,1,0
374,NK Power & Infrastructure ,RE,1976,AN,0,0
375,Bharat Electrical - KPTCL,RW,792,PS,0,1
376,Sanjay Technical,RS,430,PS,1,0
377,IDTO - DM Service,IDTO,551,PS,1,0
378,ABB Egypt,EXP,147,AM,1,0
379,ABB - Bangladesh,EXP,239,AM,1,0
380,ABB - South Africa,EXP,187,AM,1,0
381,Essar Steel India Ltd,RW,606,PS,1,0
382,Jarvis,RS,113,PS,1,1
383,ABB - DM rectifiers - Nuberg,IDTO,6500,RP,1,0
384,FLS - Sarbottom - Nepal,RC,452,AM,1,0
385,IDTO - PPMV,IDTO,86,PS,1,0
386,WBSETCL- Howrah,RE,1781,PS,0,0
387,QUALITY POWER - Dikle,RW,6657,AM,1,1
388,BHEL - Rudrapur,RN,1410,PS,0,0
389,ABB - Hungary,EXP,429.42,AM,1,0
390,ABB AUSTRALIA,EXP,26,AM,1,0
391,ABB SWEDEN,EXP,82,AM,1,0
392,ABB CHINA,EXP,30,AM,1,0
393,SPECTRUM,RS,442.5,PS,0,0
394,SPECTRUM,RS,26.5,PS,0,0
395,KSEB ,RS,317.5,PS,0,0
396,HINDALCO,RN,356.73,PS,1,0
397,DIGI DRIVES,RN,188,PS,1,0
398,ABB - DM rectifiers - Jayashree,IDTO,3000,RP,1,0
399,TBEA A/C AMTEK A/C HVPNL,RN,9814,PS,0,1
400,PRAXAIR,RS,20.6,PS,1,1
401,NIKUM,RN,600,PS,1,1
402,TATA STEEL,RE,575,PS,1,1
403,INELEC,RS,259,PS,1,1
404,ABB UNITED KINGDOM,EXP,89.65,AM,1,0
405,ABB A/C LT CAPACITORS A/C JBF,IDTO,850,AM,1,0
406,INDUSTRIAL IT SOLUTIONS,RN,196.8,PS,1,0
407,LECON ENERGETICS,RS,61.2,PS,1,0
408,ABB - South Africa,EXP,72.41,AM,1,1
409,TBEA A/C AMTEK A/C HVPNL,RN,1885,PS,0,0
410,ABB PT SAKTI INDONESIA,EXP,176,AM,1,0
411,ABB - South Africa,EXP,44.97,AM,1,0
412,ABB - South Africa,EXP,71.81,AM,1,0
413,ABB LIMITED A/C PS-SERVICE,IDTO,450,PS,1,0
414,INNOTECH,RS,924,PS,1,1
415,ANGELIQUE,RN,4990,AN,1,1
416,POWERGEAR LIMITED,RC,30,PS,1,1
417,ABB CANADA,EXP,1507,AM,1,0
418,JINDAL STEEL & POWER LIMITED,RE,4008,PS,1,1
419,SS ENTERPRISE A/C WBSETCL,RE,122.4,PS,0,0
420,ABB MEXICO,EXP,17.5,AM,1,0
421,RSAL STEEL PVT LIMITED,RW,16.2,PS,1,0
422,INELEC,RS,18,PS,1,1
423,ENARAYANA ELEX INDIA PVT LTD,RS,35,PS,1,1
424,SONAR BANGLA CEMENT,RE,148.41,PS,1,1
425,TOYOTA KIRLOSKAR MOTOR PVT LIMITED,RS,232.75,PS,1,1
426,ABB SOUTH AFRICA A/C APFC,EXP,32590,RP,1,0
427,HIGHVOLT POWER A/C LNT CHENNAI A/C SAUNI WATER PACKAGE,RW,12545,AM,0,0
428,SPECTRUM,RS,540,PS,0,0
429,WBSETCL- Barasat,RE,1528,PS,0,0
430,ABB LIMITED A/C PSDS,IDTO,577,PS,0,1
431,ABB LIMITED A/C PPHVS A/C JSPL BARBIL,IDTO,181,PS,1,1
432,ABB CANADA,EXP,809,AM,1,0
433,ABB SRILANKA,EXP,717,AM,1,0
434,ABB CHINA,EXP,55.97,AM,1,0
435,MICROSYS CONTROLS INDIA,RN,180,PS,1,1
436,SPECTRUM CONSULTANTS,RS,43.5,PS,0,0
437,NATIONAL INSTITUTE OF OCEAN TECHNOLOGY,RC,29.5,PS,1,0
438,AB POWER SYSTEM SOLUTION,RW,69.67,PS,1,0
439,ABB SOUTH AFRICA,EXP,153,AM,1,0
440,ABB PT SAKTI INDONESIA,EXP,380.67,RU,1,0
441,ABB TURKEY,EXP,500,AM,1,0
442,ABB LIMITED A/C PPTR,IDTO,540,PS,1,1
443,ABB BANGLADESH,EXP,327,AM,1,0
444,SHREE CEMENT,RE,400,RU,1,1
445,HAZIRA LNG PVT LTD,RW,44.82,PS,1,1
446,THYSSENKRUPP A/C ADANI,RW,2100,AM,1,1
447,JYOTI LIMITED A/C SAUNI WATER PACKAGE,RW,8624,AM,1,0
448,JYOTI LIMITED A/C SAUNI WATER PACKAGE,RW,8624,AM,1,0
449,ABB SWEDEN A/C BISWAJIT,EXP,2073,VP,1,0
450,ABB LIMITED A/C LT CAPACITOR,IDTO,338.47,AM,1,0
451,ABB RUSSIA,EXP,4039,RU,1,0
452,POWERTECH ENGINEERS A/C PVVNL,RN,2844,RU,0,1
453,KANTI PRASAD MITTAL A/C PVVNL,RN,1422,RU,0,1
454,KANTI PRASAD MITTAL A/C PVVNL,RN,1800,RU,0,1
455,ABB SWITZERLAND,EXP,3541,AM,1,0
456,RC AUTOMATION,RW,285,PS,1,1
457,ABB CANADA,EXP,2069,AM,1,0
458,ABB CANADA,EXP,31.14,AM,1,0
459,HINDALCO,RN,79.99,PS,1,0
460,VAMAN AUTOMATION,RC,273,PS,1,0
461,SPECTRUM,RS,27.5,PS,0,0
462,INELEC,RS,259,PS,1,1
463,ABB SOUTH AFRICA,EXP,33.74,AM,1,0
464,HUMBOLDT WEDAG INDIA PVT LTD,RN,807,PS,1,0
465,ABB LIMITED A/C LT CAPACITOR,IDTO,267.59,PS,1,0
466,ABB LIMITED A/C PSDS A/C NIRMA,IDTO,3070,RU,1,1
467,TATA STEEL JODA,RE,427.98,PS,1,0
468,ABB BRAZIL,EXP,25.92,AM,1,0
469,ABB CANADA,EXP,35.76,AM,1,0
470,ABB TURKEY,EXP,67.89,AM,1,0
471,ABB AUSTRALIA,EXP,85.84,AM,1,0
472,BS LIMITED,RS,18.5,AM,0,0
473,SPECTRUM,RS,50.8,PS,0,0
474,MESETCL SOLAPUR,RW,129,PS,0,1
475,CENTRAL ENGINEERING CO,RE,206,PS,1,0
476,RELIANCE INDUSTRIES LIMITED,RW,228,PS,1,1
477,INELEC,RS,238.64,PS,0,1
478,ENERGYPAC  A/C BREB,EXP,1810,PS,1,0
479,MUKAND LIMITED,RW,477.78,PS,1,0
480,ABB CANADA,EXP,4797.29,AM,1,0
481,RELIANCE ELECTRIK WORKS A/C PVVNL,RN,8700,RU,0,1
482,ABB LIMITED A/C PA-MM A/C HOGANAS MINES,IDTO,1008,AN,1,0
483,ABB LIMITED A/C PS-DS A/C TPDDL DHEERPUR,IDTO,5300,RP,0,1
485,ABB SOUTH AFRICA,EXP,148.46,AM,1,0
486,ABB LIMITED A/C PA-MM A/C ARABIAN GULF CEMENT,IDTO,960,RU,1,0
487,PROMAC ENGINEERING INDUSTRIES,RS,880,PS,1,1
488,TRISQUARE SWITCHGEARS,RN,551,PS,1,0
489,ABB SOUTH AFRICA,EXP,977.86,AM,1,1
490,ABB SOUTH AFRICA,EXP,294.75,AM,1,0
491,Bus Bar Systems,RS,65.4,PS,1,0
492,ABB CANADA,EXP,37.8,AM,1,0
493,POWER & PACK SOLUTIONS,RS,35.2,PS,1,0
494,VEE VEE CONTROLS,RS,100.53,PS,1,1
495,QUALITY POWER,RW,387.6,AM,1,1
496,ABB LIMITED A/C LT CAPACITOR,IDTO,194.2,PS,1,1
497,SGS,RN,2000,PS,1,0
498,ABB CANADA,EXP,629,AM,1,0
499,AB POWER SYSTEM SOLUTION,RW,100,PS,1,0
500,ABB TURKEY,EXP,223,AM,1,0
502,ABB LIMITED A/C AP A/C TATA KPO,IDTO,879.75,PS,1,1
503,ABB LIMITED A/C PS A/C NEA AGRA,IDTO,2575,KS,0,1
504,CHETTINAD CEMENT,RC,400.8,RU,1,1
505,ABHINAV ENTERPRISES,RW,585,PS,1,1
506,YOGIRAJ POWERTECH PVT LIMITED,RW,8798,AM,1,1
507,YOGIRAJ POWERTECH PVT LIMITED,RW,8701,AM,1,1
508,ABB CANADA,EXP,408,AM,1,0
509,ABB LIMITED A/C PPTR,IDTO,4443.75,PS,1,1
510,SYSELEC TTECHNOLOGIES PVT LTD,RW,1620,PS,0,1
511,SIEMENS A/C TATA KALINGANAGAR,RN,836.53,NK,1,0
512,SPECTRUM,RS,55,PS,0,0
513,KAYDEE ENGINEERS,RN,27.75,PS,1,1
514,GANGAVARAM PORT LIMITED,RS,33.66,PS,1,0
515,GANGAVARAM PORT LIMITED,RS,54,PS,1,0
516,HIVOLT POWER & CONTROL SYSTEMS PVT LTD,RW,295,AM,1,0
517,ANIL ELECTRICALS JAIPUR,RN,45,PS,1,1
518,NISH TECHNO PROJECTS PVT LIMITED A/C SAUNI PACKAGE,RW,7500,AM,1,0
519,SIEMENS A/C PGCIL KALA,RN,88318,KS,0,0
520,INNOTECH,RS,1107,AM,1,1
521,ABB LIMITED A/C PA A/C TATA KALINGANAGAR,IDTO,80,NK,1,0
522,ABB LIMITED A/C PA A/C TATA KALINGANAGAR,IDTO,3336,NK,1,0
523,ABB LIMITED A/C PA A/C ABUL KHAIR,IDTO,435.82,NK,1,0
524,PGCIL HVDC TALCHER,RE,1265.4,PS,0,0
525,ABB SWITZERLAND,EXP,90,VP,1,0
526,"DIMO PRIVATE LIMITED, SRILANKA",EXP,650,RU,1,1
527,ABB LIMITED A/C PPHVS A/C USHA MARTIN,IDTO,423.75,PS,1,0
528,SUBTLEWEIGH ELECTRIC PVT LIMITED,RE,2600,RU,1,0
529,ISAT NETWORK ENGINEERS P LIMITED,RN,6410,RP,1,0
530,ABB CANADA,EXP,629,AM,1,0
531,SAMHITA TECHNOLOGIES,RN,82,PS,1,0
532,POWERGRID CORPORATION OF INDIA,RW,632,PS,0,1
533,ABB LIMITED A/C PS A/C CEB,IDTO,367.5,NK,0,0
534,ABB SOUTH AFRICA,EXP,46.69,AM,1,0
535,ABB SWITZERLAND,EXP,3605,AM,1,0
536,ABB SWITZERLAND,EXP,58.45,AM,1,0
537,ABB HUNGARY,EXP,1676.74,AM,1,0
538,ABB HUNGARY,EXP,148.18,AM,1,0
539,ABB TURKEY,EXP,194.84,AM,1,0
540,ABB EGYPT,EXP,178.61,AM,1,0
541,GRAPHITE INDIA LIMITED,RE,319.3,RP,1,0
542,SPECTRUM CONSULTANTS,RS,127.5,PS,0,0
543,ABB LIMITED A/C PPHVS A/C RAJASTHAN TEXTILE MILLS,IDTO,1092,AN,1,0
544,QUALITY POWER,RW,40.74,AM,1,1
545,NIKUM,RN,600,PS,1,0
546,SPECTRUM,RS,534,PS,0,0
547,SPECTRUM,RS,43.5,PS,0,0
548,ABB SOUTH AFRICA,EXP,197.45,AM,1,0
549,ABB SOUTH AFRICA,EXP,158.46,AM,1,0
550,ABB SOUTH AFRICA,EXP,28.64,AM,1,0
551,ABB SOUTH AFRICA,EXP,198,AM,1,0
